name,dialogue
Michael,Ok.
Kelly,I just don't want to get hit by it...
Dwight,"Now, Jim!"
Erin,They said the both of you.
Michael,I’m here. In a good way! I’ve been here the whole time.
Michael,Yes it is!
Jim,"Robert, great offer. Wish I could hit the links with you in Florida but a father of a newborn really should be helping out his wife any chance he gets."
Phyllis,Hot!
Dwight,Okay. Whoo!
Michael,This is not just another party. This is a leadership training exercise. Right? I'm going to combine elements of fun and motivation and education into a single mind-blowing experience.
Ryan,Don't you mean constructive criticism?
Kelly,No!
Erin,"Afghan president Hamid Karzai declared a new policy of dollar days throughout the country. Promising low, low prices on all 2012 Kia Sentras and Sonatas. Aren’t you glad you waited? Karzai commented."
Pam,"Kay, well, you had that interesting thing."
Andy,Thank you.
Michael,Did you see Born on the Fourth of July? I was under the impression that Billy would be more like that guy.
Michael,Could I?
Pam,mmhmm.
Dwight,"Yes, when he brushes your soft supple cheeks with his worn leathery hands and says â€śI’m gonna make you the seventh Mrs. Rosenblattâ€ť unless you ring this bell. Ring it! Ring the bell. You wanna spend the rest of your life changing your husband’s colostomy bags? Huh? Do you? Ring it! Wha-, oh. What was that?"
Oscar,Great. I was wrong. I’m wrong. Is everyone happy?
Michael,That fettuccine is sitting in my stomach like a rock.
Pam,"No, yeah. What?"
Stanley,That's what she said.
Oscar,What are you doing?!
Ryan,"Fine. He actually gave me a small raise, which I did not ask for. It's stuck. It's cool, it fell."
Jim,"All right, good catch-up."
Pam,Nothing. You look nice today.
Pam,Same religion.
Michael,"Yeah, Jan, it um… looks like a check, piece of paper of some sort. Receipt. I don’t know."
Jim,"Happy Holidays, Dwight. But do not open it till Christmas."
Ryan,"Michael, you have always taken a great interest in my career."
Michael,The great thing about sports is that it is all about character. And you can learn lessons about life even if you don’t win. But we did because we were ahead.
Pam,"Okay, well she takes her convictions pretty seriously, she can be kind of severe."
Darryl,"Yeah, Jim."
Darryl,Hell yeah. You know why? Because that was my baby.
Toby,"Ok, I mean, I could talk to her."
Pam,Kay.
Angela,"Hey, excuse me! Waitress lady! Hey, where do you think you're going with that?"
Toby,Second?
Oscar,Wow.
Ryan,What’s the dress code on this?
Dwight,"There was this film that I saw when I was little. It was about a kid who goes on the most incredible adventure. And even though it was really great, and she had a great time, she ends up back home in Kansas and says, ""There's no place like home."" And that's how I feel right now. There is no place like home. What the hell was that movie called? It's gonna drive me crazy."
Dwight,"No, Kevin, come on."
Toby,"Oh, some kind of... alarm."
Pam,I actually do mean Marlon Wayan. Yeah.
Pam,"Absolutely, I do."
Dwight,And you will be hearing from the -
Pam,"Michael, you’re on with Jan."
Michael,"Yankee Swap! That's what makes it fun. Pam, you can steal the oven mitt now."
Jim,"Oh, here she is. Careful, careful, whoa. Alright, easy. Almost there."
Jim,I’m really sorry. I can’t do it.
Michael,How dare you! Michael Clump is a celebration of fat people.
Dwight,Can't beat a horse. A horse is a bike that peddles itself.
Angela,Extension 128.
Angela,"Well, I guess it’s a big opportunity for them."
Dwight,Very well! Drinks on me! Bartender! Oh.
Andy,Thanks for coming in guys.
Oscar,"Okay, you have to join my wine-tasting club."
Michael,"We're just friends. Hey, hey, wait a second. Who let you in here, is what I want to know."
Jim,"Right now, this is just a job. If I advance any higher in this company then this would be my career. And uh, well, if this were my career, I'd have to throw myself in front of a train."
Dwight,Doesn't matter.
Jim,"Don't call her ""the mom."""
Dwight,"I offered myself to Angela and she turned me down. If she changes her mind, the next move is hers. I’m with Esther now. She’s younger than Angela, sturdier, more comfortable with the scent of a manured field. Let’s be honest. When it came to manured fields, Angela was at best indifferent."
Jim,No.
Dwight,"So you'll be reporting to me, then."
Dwight,Oh. Come to reason with me?
Dwight,"Aah! God, that sucks! Aah! What are you gonna do? I mean, it's your call."
Jim,The… the… the… what I was saying is the real genius was… was in the…
Dwight,"Yo Mike, our town is dope and pretty."
Andy,Sorry.
Pam,"Michael, do not let your imagination run amok."
Dwight,"Behind every great regional manager is a great assistant to the regional manager, and I have chosen one of the best."
Oscar,"Ah, I'll just... wait for him."
Andy,"No. Not at all, actually. But thanks for asking. Appreciate it. You know what? I'd also like to take this opportunity to thank all of you for lying. To my face. And not telling me what's been going on this entire time."
Jim,I thought it'd be funny.
Dwight,Go. Get the door.
Pam,"So, uh, biggest thing, besides not being able to get her to latch..."
Michael,"A sensitive email has been released to the office. It contains a file, a picture. The file name is ""Jamaican Jan Sun Princess."""
Kelly,Nothing's going on.
Kevin,She probably switched cards with someone. Like I did with Erin.
Darryl,I hope so. Think about this carefully. There’s better lives than this one.
