name,dialogue
Michael,I always do.
Jim,"Hey, do you have a second?"
Michael,Mm hmm .
Michael,No problem. Worth a try.
Ryan,I ground up four extra-strength aspirin and put them in Michael’s pudding. I do the same thing with my dog to get him to take his heartworm medicine.
Toby,"Okay, look, in a real crisis situation, you√¢‚Ç¨‚Ñ¢re not gonna have to time to think, okay? So just remember, I-A-A-T-G. √¢‚Ç¨≈ìIt√¢‚Ç¨‚Ñ¢s all about the groin.√¢‚Ç¨¬ù"
Michael,Yeah.
Kevin,"Guys! When I was a kid, my sisters used to butter me up and slide me across the linoleum floor of the kitchen. Then really made them laugh."
Pam,New pants?
Michael,You use your brain too much.
Meredith,Did you spit in his face?
Dwight,"YouĂ˘â‚¬â„˘re the QuiznoĂ˘â‚¬â„˘s. Jan, may I introduce to you your own personal Dunder Mifflin liaison, devoted to servicing this account with total client satisfaction. I sensed that Molly wasnĂ˘â‚¬â„˘t quite meeting your needs — nothing like, uh, your old assistant… Hunter. Was that his name?"
Andy,"Val, I need the space."
Ryan,"Kelly, you’re here."
Pam,Yes.
Dwight,No.
Andy,"Oh my gosh, you have the Dallas board game?"
Andy,"Erin, how long did we order those billboards for?"
Michael,I have my passport.
Pam,Not relevant.
Andy,You're choking him!
Jim,Sure.
Jim,Yup. Really great. When's she available?
Michael,Why?
Andy,A little frazzled.
Pam,"Sure, uh, Jan... um, do you know, is anyone coming back to Scranton?"
Angela,"You would. And if I were to call your house and ask for your wife, would I get through to you?"
Dwight,"Owning a building is a war between the landlord and the tenant. Not a literal war, unfortunately, but I am using the same tactics. I’ve surrounded the enemy, and I’m slowly starving them. To save on electricity I’ve installed a timer and motion sensors on the lights. It’s part of my green initiative. And by green, I mean money."
Michael,And I turn it on and I say 'Prepare yourself for the Utica Chainsaw Massacre.'
Jim,"Obviously, the assistant to the regional manager."
Angela,I'll give you the leads. But you know what? It's going to cost you some clerical work
Jim,You're good... you're good at sales.
Darryl,Dinkin' flicka.
Jim,And this is Dunder-Mifflin.
Andy,"I'm sorry, I meant later."
Dwight,"Angela, would you like some of my beet salad?"
Jim,"Really? 'Cause she's pretty strong, Dwight."
Pam,"Yeah, I mean, admitting you need help is the first step!"
Michael,That waitress was the one.
Andy,"No. Dwight! I have me on the record, saying to you, take a chill pill."
Kevin,Nice outfit.
